antecedent,consequent,support,confidence,lift
['47'],['46'],0.06,0.14,1.18
['46'],['48'],0.07,0.58,1.09
['48'],['46'],0.07,0.13,1.09
['46'],['38'],0.09,0.77,1.02
['38'],['46'],0.09,0.12,1.02
['46'],['39'],0.06,0.48,1.05
['39'],['46'],0.06,0.12,1.05
['22'],['40'],0.06,0.52,1.15
['40'],['22'],0.06,0.13,1.15
['22'],['9'],0.05,0.44,1.01
['9'],['22'],0.05,0.12,1.01
['22'],['17'],0.06,0.49,1.08
['17'],['22'],0.06,0.13,1.08
['22'],['11'],0.07,0.56,1.08
['11'],['22'],0.07,0.13,1.08
['22'],['48'],0.07,0.57,1.07
['48'],['22'],0.07,0.13,1.07
['22'],['47'],0.05,0.44,0.98
['47'],['22'],0.05,0.12,0.98
['22'],"['48', '38']",0.05,0.45,1.09
['48'],"['38', '22']",0.05,0.1,1.1
['38'],"['48', '22']",0.05,0.07,1.05
"['48', '22']",['38'],0.05,0.79,1.05
"['38', '22']",['48'],0.05,0.58,1.1
"['48', '38']",['22'],0.05,0.13,1.09
['22'],"['36', '38']",0.06,0.52,1.07
['36'],"['38', '22']",0.06,0.1,1.08
['38'],"['36', '22']",0.06,0.08,1.02
"['36', '22']",['38'],0.06,0.78,1.02
"['38', '22']",['36'],0.06,0.68,1.08
"['36', '38']",['22'],0.06,0.13,1.07
['22'],['29'],0.05,0.44,1.12
['29'],['22'],0.05,0.13,1.12
['22'],['3'],0.06,0.52,1.07
['3'],['22'],0.06,0.13,1.07
['22'],['36'],0.08,0.67,1.07
['36'],['22'],0.08,0.13,1.07
['22'],['28'],0.06,0.52,1.06
['28'],['22'],0.06,0.12,1.06
['22'],"['11', '38']",0.05,0.44,1.08
['11'],"['38', '22']",0.05,0.1,1.1
['38'],"['11', '22']",0.05,0.07,1.04
"['11', '22']",['38'],0.05,0.79,1.04
"['38', '22']",['11'],0.05,0.57,1.1
"['11', '38']",['22'],0.05,0.13,1.08
['22'],['38'],0.09,0.77,1.02
['38'],['22'],0.09,0.12,1.02
['22'],['39'],0.06,0.48,1.05
['39'],['22'],0.06,0.12,1.05
['22'],['8'],0.06,0.48,0.97
['8'],['22'],0.06,0.11,0.97
['15'],['40'],0.05,0.46,1.01
['40'],['15'],0.05,0.12,1.01
['15'],['17'],0.06,0.47,1.03
['17'],['15'],0.06,0.12,1.03
['15'],['11'],0.06,0.55,1.05
['11'],['15'],0.06,0.12,1.05
['15'],"['11', '38']",0.05,0.44,1.09
['11'],"['38', '15']",0.05,0.1,1.03
['38'],"['11', '15']",0.05,0.07,1.07
"['11', '15']",['38'],0.05,0.81,1.07
"['38', '15']",['11'],0.05,0.54,1.03
"['11', '38']",['15'],0.05,0.13,1.09
['15'],['38'],0.1,0.83,1.09
['38'],['15'],0.1,0.13,1.09
['15'],"['36', '38']",0.07,0.58,1.2
['36'],"['38', '15']",0.07,0.11,1.12
['38'],"['36', '15']",0.07,0.09,1.16
"['36', '15']",['38'],0.07,0.88,1.16
"['38', '15']",['36'],0.07,0.7,1.12
"['36', '38']",['15'],0.07,0.14,1.2
['15'],"['8', '38']",0.05,0.46,1.18
['8'],"['38', '15']",0.05,0.11,1.11
['38'],"['8', '15']",0.05,0.07,1.11
"['8', '15']",['38'],0.05,0.84,1.11
"['38', '15']",['8'],0.05,0.55,1.11
"['8', '38']",['15'],0.05,0.14,1.18
['15'],"['48', '38']",0.06,0.5,1.2
['48'],"['38', '15']",0.06,0.11,1.13
['38'],"['48', '15']",0.06,0.08,1.13
"['48', '15']",['38'],0.06,0.86,1.13
"['38', '15']",['48'],0.06,0.6,1.13
"['48', '38']",['15'],0.06,0.14,1.2
['15'],['47'],0.05,0.46,1.02
['47'],['15'],0.05,0.12,1.02
['15'],['48'],0.07,0.58,1.09
['48'],['15'],0.07,0.13,1.09
['15'],['36'],0.08,0.66,1.05
['36'],['15'],0.08,0.12,1.05
['15'],['39'],0.05,0.46,1.02
['39'],['15'],0.05,0.12,1.02
['15'],['28'],0.06,0.51,1.04
['28'],['15'],0.06,0.12,1.04
['15'],['8'],0.06,0.54,1.09
['8'],['15'],0.06,0.13,1.09
['15'],['9'],0.05,0.45,1.03
['9'],['15'],0.05,0.12,1.03
['15'],['3'],0.06,0.55,1.12
['3'],['15'],0.06,0.13,1.12
['15'],"['3', '38']",0.06,0.48,1.27
['3'],"['38', '15']",0.06,0.12,1.19
['38'],"['3', '15']",0.06,0.07,1.16
"['3', '15']",['38'],0.06,0.88,1.16
"['38', '15']",['3'],0.06,0.58,1.19
"['3', '38']",['15'],0.06,0.15,1.27
['41'],"['9', '38']",0.05,0.36,1.07
['9'],"['41', '38']",0.05,0.12,1.03
['38'],"['41', '9']",0.05,0.07,1.07
"['41', '9']",['38'],0.05,0.81,1.07
"['41', '38']",['9'],0.05,0.45,1.03
"['9', '38']",['41'],0.05,0.15,1.07
['41'],['8'],0.07,0.5,1.01
['8'],['41'],0.07,0.14,1.01
['41'],['9'],0.06,0.44,1.01
['9'],['41'],0.06,0.14,1.01
['41'],['17'],0.07,0.51,1.12
['17'],['41'],0.07,0.16,1.12
['41'],"['17', '38']",0.06,0.43,1.2
['17'],"['41', '38']",0.06,0.13,1.18
['38'],"['41', '17']",0.06,0.08,1.11
"['41', '17']",['38'],0.06,0.84,1.11
"['41', '38']",['17'],0.06,0.54,1.18
"['17', '38']",['41'],0.06,0.17,1.2
['41'],"['36', '38']",0.08,0.58,1.19
['36'],"['41', '38']",0.08,0.13,1.16
['38'],"['41', '36']",0.08,0.11,1.09
"['41', '36']",['38'],0.08,0.83,1.09
"['41', '38']",['36'],0.08,0.73,1.16
"['36', '38']",['41'],0.08,0.17,1.19
['41'],['47'],0.07,0.48,1.08
['47'],['41'],0.07,0.15,1.08
['41'],"['8', '38']",0.06,0.41,1.06
['8'],"['41', '38']",0.06,0.12,1.03
['38'],"['8', '41']",0.06,0.08,1.07
"['8', '41']",['38'],0.06,0.81,1.07
"['41', '38']",['8'],0.06,0.51,1.03
"['8', '38']",['41'],0.06,0.15,1.06
['41'],"['11', '38']",0.06,0.44,1.08
['11'],"['41', '38']",0.06,0.12,1.06
['38'],"['41', '11']",0.06,0.08,1.07
"['41', '11']",['38'],0.06,0.81,1.07
"['41', '38']",['11'],0.06,0.55,1.06
"['11', '38']",['41'],0.06,0.15,1.08
['41'],['39'],0.07,0.47,1.04
['39'],['41'],0.07,0.15,1.04
['41'],['35'],0.05,0.38,1.02
['35'],['41'],0.05,0.15,1.02
['41'],['3'],0.08,0.55,1.12
['3'],['41'],0.08,0.16,1.12
['41'],"['48', '38']",0.06,0.44,1.07
['48'],"['41', '38']",0.06,0.12,1.05
['38'],"['48', '41']",0.06,0.08,1.08
"['48', '41']",['38'],0.06,0.82,1.08
"['41', '38']",['48'],0.06,0.56,1.05
"['48', '38']",['41'],0.06,0.15,1.07
['41'],"['8', '36']",0.05,0.36,1.11
['8'],"['41', '36']",0.05,0.1,1.03
['36'],"['8', '41']",0.05,0.08,1.13
"['8', '41']",['36'],0.05,0.71,1.13
"['41', '36']",['8'],0.05,0.51,1.03
"['8', '36']",['41'],0.05,0.16,1.11
['41'],"['17', '36']",0.05,0.35,1.19
['17'],"['41', '36']",0.05,0.11,1.09
['36'],"['41', '17']",0.05,0.08,1.09
"['41', '17']",['36'],0.05,0.68,1.09
"['41', '36']",['17'],0.05,0.5,1.09
"['17', '36']",['41'],0.05,0.17,1.19
['41'],"['11', '36']",0.06,0.41,1.2
['11'],"['41', '36']",0.06,0.11,1.12
['36'],"['41', '11']",0.06,0.09,1.2
"['41', '11']",['36'],0.06,0.75,1.2
"['41', '36']",['11'],0.06,0.58,1.12
"['11', '36']",['41'],0.06,0.17,1.2
['41'],"['3', '38']",0.06,0.44,1.16
['3'],"['41', '38']",0.06,0.13,1.13
['38'],"['41', '3']",0.06,0.08,1.06
"['41', '3']",['38'],0.06,0.8,1.06
"['41', '38']",['3'],0.06,0.55,1.13
"['3', '38']",['41'],0.06,0.17,1.16
['41'],"['38', '47']",0.06,0.4,1.14
['47'],"['41', '38']",0.06,0.13,1.12
['38'],"['41', '47']",0.06,0.08,1.09
"['41', '47']",['38'],0.06,0.83,1.09
"['41', '38']",['47'],0.06,0.5,1.12
"['38', '47']",['41'],0.06,0.16,1.14
['41'],"['28', '38']",0.06,0.41,1.08
['28'],"['41', '38']",0.06,0.12,1.06
['38'],"['41', '28']",0.06,0.08,1.08
"['41', '28']",['38'],0.06,0.81,1.08
"['41', '38']",['28'],0.06,0.52,1.06
"['28', '38']",['41'],0.06,0.16,1.08
['41'],['28'],0.07,0.5,1.03
['28'],['41'],0.07,0.15,1.03
['41'],"['38', '39']",0.05,0.37,1.06
['39'],"['41', '38']",0.05,0.12,1.04
['38'],"['41', '39']",0.05,0.07,1.05
"['41', '39']",['38'],0.05,0.79,1.05
"['41', '38']",['39'],0.05,0.47,1.04
"['38', '39']",['41'],0.05,0.15,1.06
['41'],['38'],0.11,0.8,1.05
['38'],['41'],0.11,0.15,1.05
['41'],"['48', '36']",0.05,0.37,1.11
['48'],"['41', '36']",0.05,0.1,1.0
['36'],"['48', '41']",0.05,0.08,1.09
"['48', '41']",['36'],0.05,0.68,1.09
"['41', '36']",['48'],0.05,0.53,1.0
"['48', '36']",['41'],0.05,0.16,1.11
['41'],"['3', '36']",0.06,0.41,1.31
['3'],"['41', '36']",0.06,0.12,1.2
['36'],"['41', '3']",0.06,0.09,1.19
"['41', '3']",['36'],0.06,0.75,1.19
"['41', '36']",['3'],0.06,0.58,1.2
"['3', '36']",['41'],0.06,0.19,1.31
['41'],"['36', '47']",0.05,0.36,1.26
['47'],"['41', '36']",0.05,0.12,1.16
['36'],"['41', '47']",0.05,0.08,1.2
"['41', '47']",['36'],0.05,0.75,1.2
"['41', '36']",['47'],0.05,0.52,1.16
"['36', '47']",['41'],0.05,0.18,1.26
['41'],"['40', '38']",0.05,0.38,1.07
['40'],"['41', '38']",0.05,0.12,1.04
['38'],"['40', '41']",0.05,0.07,1.1
"['40', '41']",['38'],0.05,0.84,1.1
"['41', '38']",['40'],0.05,0.48,1.04
"['40', '38']",['41'],0.05,0.15,1.07
['41'],"['28', '36']",0.05,0.36,1.13
['28'],"['41', '36']",0.05,0.11,1.05
['36'],"['41', '28']",0.05,0.08,1.14
"['41', '28']",['36'],0.05,0.71,1.14
"['41', '36']",['28'],0.05,0.51,1.05
"['28', '36']",['41'],0.05,0.16,1.13
['41'],['29'],0.06,0.4,1.03
['29'],['41'],0.06,0.15,1.03
['41'],['48'],0.08,0.54,1.03
['48'],['41'],0.08,0.15,1.03
['41'],['36'],0.1,0.7,1.12
['36'],['41'],0.1,0.16,1.12
['41'],['14'],0.06,0.41,1.05
['14'],['41'],0.06,0.15,1.05
['41'],['40'],0.06,0.45,0.99
['40'],['41'],0.06,0.14,0.99
['41'],['11'],0.08,0.54,1.04
['11'],['41'],0.08,0.15,1.04
['41'],['43'],0.05,0.36,0.89
['43'],['41'],0.05,0.13,0.89
['31'],['38'],0.12,0.8,1.06
['38'],['31'],0.12,0.15,1.06
['31'],['36'],0.09,0.62,0.99
['36'],['31'],0.09,0.14,0.99
['31'],['29'],0.06,0.44,1.13
['29'],['31'],0.06,0.16,1.13
['31'],"['9', '38']",0.05,0.35,1.06
['9'],"['38', '31']",0.05,0.12,1.02
['38'],"['9', '31']",0.05,0.07,1.09
"['9', '31']",['38'],0.05,0.82,1.09
"['38', '31']",['9'],0.05,0.44,1.02
"['9', '38']",['31'],0.05,0.15,1.06
['31'],"['29', '38']",0.05,0.37,1.21
['29'],"['38', '31']",0.05,0.14,1.16
['38'],"['29', '31']",0.05,0.07,1.09
"['29', '31']",['38'],0.05,0.83,1.09
"['38', '31']",['29'],0.05,0.45,1.16
"['29', '38']",['31'],0.05,0.18,1.21
['31'],['48'],0.08,0.56,1.06
['48'],['31'],0.08,0.15,1.06
['31'],"['8', '38']",0.06,0.44,1.15
['8'],"['38', '31']",0.06,0.13,1.11
['38'],"['8', '31']",0.06,0.09,1.06
"['8', '31']",['38'],0.06,0.8,1.06
"['38', '31']",['8'],0.06,0.55,1.11
"['8', '38']",['31'],0.06,0.17,1.15
['31'],['14'],0.06,0.42,1.07
['14'],['31'],0.06,0.16,1.07
['31'],['40'],0.06,0.44,0.96
['40'],['31'],0.06,0.14,0.96
['31'],['11'],0.08,0.54,1.04
['11'],['31'],0.08,0.15,1.04
['31'],"['17', '38']",0.06,0.42,1.18
['17'],"['38', '31']",0.06,0.13,1.15
['38'],"['17', '31']",0.06,0.08,1.11
"['17', '31']",['38'],0.06,0.84,1.11
"['38', '31']",['17'],0.06,0.53,1.15
"['17', '38']",['31'],0.06,0.17,1.18
['31'],"['36', '38']",0.08,0.52,1.07
['36'],"['38', '31']",0.08,0.12,1.02
['38'],"['36', '31']",0.08,0.1,1.11
"['36', '31']",['38'],0.08,0.84,1.11
"['38', '31']",['36'],0.08,0.64,1.02
"['36', '38']",['31'],0.08,0.15,1.07
['31'],['43'],0.05,0.37,0.91
['43'],['31'],0.05,0.13,0.91
['31'],"['8', '36']",0.05,0.35,1.1
['8'],"['36', '31']",0.05,0.1,1.15
['36'],"['8', '31']",0.05,0.08,1.02
"['8', '31']",['36'],0.05,0.64,1.02
"['36', '31']",['8'],0.05,0.57,1.15
"['8', '36']",['31'],0.05,0.16,1.1
['31'],['8'],0.08,0.55,1.11
['8'],['31'],0.08,0.16,1.11
['31'],"['48', '38']",0.07,0.45,1.08
['48'],"['38', '31']",0.07,0.12,1.05
['38'],"['48', '31']",0.07,0.09,1.06
"['48', '31']",['38'],0.07,0.8,1.06
"['38', '31']",['48'],0.07,0.56,1.05
"['48', '38']",['31'],0.07,0.16,1.08
['31'],['9'],0.06,0.43,0.99
['9'],['31'],0.06,0.14,0.99
['31'],"['11', '38']",0.06,0.44,1.08
['11'],"['38', '31']",0.06,0.12,1.05
['38'],"['11', '31']",0.06,0.08,1.08
"['11', '31']",['38'],0.06,0.82,1.08
"['38', '31']",['11'],0.06,0.55,1.05
"['11', '38']",['31'],0.06,0.16,1.08
['31'],['17'],0.07,0.51,1.1
['17'],['31'],0.07,0.16,1.1
['31'],"['38', '47']",0.06,0.4,1.14
['47'],"['38', '31']",0.06,0.13,1.11
['38'],"['47', '31']",0.06,0.08,1.15
"['47', '31']",['38'],0.06,0.87,1.15
"['38', '31']",['47'],0.06,0.49,1.11
"['38', '47']",['31'],0.06,0.17,1.14
['31'],"['28', '38']",0.06,0.44,1.15
['28'],"['38', '31']",0.06,0.13,1.11
['38'],"['28', '31']",0.06,0.08,1.09
"['28', '31']",['38'],0.06,0.83,1.09
"['38', '31']",['28'],0.06,0.54,1.11
"['28', '38']",['31'],0.06,0.17,1.15
['31'],['47'],0.07,0.46,1.03
['47'],['31'],0.07,0.15,1.03
['31'],['39'],0.07,0.48,1.06
['39'],['31'],0.07,0.15,1.06
['31'],"['11', '36']",0.05,0.36,1.06
['11'],"['36', '31']",0.05,0.1,1.13
['36'],"['11', '31']",0.05,0.08,1.07
"['11', '31']",['36'],0.05,0.67,1.07
"['36', '31']",['11'],0.05,0.59,1.13
"['11', '36']",['31'],0.05,0.15,1.06
['31'],['3'],0.07,0.5,1.02
['3'],['31'],0.07,0.15,1.02
['31'],"['3', '38']",0.06,0.42,1.11
['3'],"['38', '31']",0.06,0.12,1.06
['38'],"['3', '31']",0.06,0.08,1.11
"['3', '31']",['38'],0.06,0.84,1.11
"['38', '31']",['3'],0.06,0.52,1.06
"['3', '38']",['31'],0.06,0.16,1.11
['31'],['35'],0.05,0.35,0.94
['35'],['31'],0.05,0.14,0.94
['31'],"['48', '36']",0.05,0.36,1.06
['48'],"['36', '31']",0.05,0.1,1.09
['36'],"['48', '31']",0.05,0.08,1.01
"['48', '31']",['36'],0.05,0.64,1.01
"['36', '31']",['48'],0.05,0.58,1.09
"['48', '36']",['31'],0.05,0.15,1.06
['31'],"['38', '39']",0.06,0.39,1.11
['39'],"['38', '31']",0.06,0.13,1.07
['38'],"['39', '31']",0.06,0.08,1.07
"['39', '31']",['38'],0.06,0.81,1.07
"['38', '31']",['39'],0.06,0.49,1.07
"['38', '39']",['31'],0.06,0.16,1.11
['31'],"['40', '38']",0.05,0.37,1.06
['40'],"['38', '31']",0.05,0.12,1.01
['38'],"['40', '31']",0.05,0.07,1.13
"['40', '31']",['38'],0.05,0.85,1.13
"['38', '31']",['40'],0.05,0.46,1.01
"['40', '38']",['31'],0.05,0.15,1.06
['31'],"['28', '36']",0.05,0.35,1.09
['28'],"['36', '31']",0.05,0.1,1.15
['36'],"['28', '31']",0.05,0.08,1.05
"['28', '31']",['36'],0.05,0.66,1.05
"['36', '31']",['28'],0.05,0.56,1.15
"['28', '36']",['31'],0.05,0.16,1.09
['31'],['28'],0.08,0.53,1.08
['28'],['31'],0.08,0.16,1.08
['13'],"['48', '11']",0.05,0.32,1.12
['11'],"['48', '13']",0.05,0.1,1.07
['48'],"['11', '13']",0.05,0.1,1.13
"['11', '13']",['48'],0.05,0.6,1.13
"['48', '13']",['11'],0.05,0.56,1.07
"['48', '11']",['13'],0.05,0.18,1.12
['13'],['47'],0.08,0.48,1.07
['47'],['13'],0.08,0.17,1.07
['13'],"['11', '36']",0.06,0.36,1.06
['11'],"['36', '13']",0.06,0.11,1.06
['36'],"['11', '13']",0.06,0.09,1.07
"['11', '13']",['36'],0.06,0.67,1.07
"['36', '13']",['11'],0.06,0.55,1.06
"['11', '36']",['13'],0.06,0.17,1.06
['13'],['39'],0.08,0.49,1.08
['39'],['13'],0.08,0.18,1.08
['13'],"['38', '39']",0.07,0.4,1.14
['39'],"['13', '38']",0.07,0.14,1.13
['38'],"['13', '39']",0.07,0.09,1.09
"['13', '39']",['38'],0.07,0.82,1.09
"['13', '38']",['39'],0.07,0.51,1.13
"['38', '39']",['13'],0.07,0.19,1.14
['13'],"['36', '47']",0.06,0.34,1.2
['47'],"['36', '13']",0.06,0.13,1.17
['36'],"['13', '47']",0.06,0.09,1.15
"['13', '47']",['36'],0.06,0.72,1.15
"['36', '13']",['47'],0.06,0.52,1.17
"['36', '47']",['13'],0.06,0.2,1.2
['13'],"['40', '38']",0.05,0.32,0.92
['40'],"['13', '38']",0.05,0.11,0.9
['38'],"['40', '13']",0.05,0.07,1.05
"['40', '13']",['38'],0.05,0.79,1.05
"['13', '38']",['40'],0.05,0.41,0.9
"['40', '38']",['13'],0.05,0.15,0.92
['13'],['3'],0.08,0.49,1.01
['3'],['13'],0.08,0.16,1.01
['13'],"['48', '28']",0.05,0.31,1.16
['28'],"['48', '13']",0.05,0.1,1.09
['48'],"['28', '13']",0.05,0.1,1.15
"['28', '13']",['48'],0.05,0.61,1.15
"['48', '13']",['28'],0.05,0.54,1.09
"['48', '28']",['13'],0.05,0.19,1.16
['13'],"['28', '36']",0.06,0.34,1.07
['28'],"['36', '13']",0.06,0.11,1.06
['36'],"['28', '13']",0.06,0.09,1.06
"['28', '13']",['36'],0.06,0.67,1.06
"['36', '13']",['28'],0.06,0.52,1.06
"['28', '36']",['13'],0.06,0.17,1.07
['13'],"['8', '11']",0.05,0.31,1.12
['8'],"['11', '13']",0.05,0.1,1.15
['11'],"['8', '13']",0.05,0.1,1.14
"['8', '13']",['11'],0.05,0.59,1.14
"['11', '13']",['8'],0.05,0.57,1.15
"['8', '11']",['13'],0.05,0.18,1.12
['13'],['35'],0.06,0.39,1.06
['35'],['13'],0.06,0.17,1.06
['13'],"['48', '36']",0.06,0.37,1.11
['48'],"['36', '13']",0.06,0.11,1.06
['36'],"['48', '13']",0.06,0.1,1.02
"['48', '13']",['36'],0.06,0.64,1.02
"['36', '13']",['48'],0.06,0.56,1.06
"['48', '36']",['13'],0.06,0.18,1.11
['13'],"['3', '36']",0.06,0.34,1.09
['3'],"['36', '13']",0.06,0.11,1.06
['36'],"['3', '13']",0.06,0.09,1.1
"['3', '13']",['36'],0.06,0.69,1.1
"['36', '13']",['3'],0.06,0.52,1.06
"['3', '36']",['13'],0.06,0.18,1.09
['13'],['5'],0.05,0.31,1.18
['5'],['13'],0.05,0.19,1.18
['13'],"['36', '39']",0.06,0.35,1.18
['39'],"['36', '13']",0.06,0.12,1.16
['36'],"['13', '39']",0.06,0.09,1.13
"['13', '39']",['36'],0.06,0.71,1.13
"['36', '13']",['39'],0.06,0.53,1.16
"['36', '39']",['13'],0.06,0.19,1.18
['13'],"['35', '38']",0.05,0.32,1.12
['35'],"['13', '38']",0.05,0.14,1.11
['38'],"['35', '13']",0.05,0.07,1.09
"['35', '13']",['38'],0.05,0.82,1.09
"['13', '38']",['35'],0.05,0.41,1.11
"['35', '38']",['13'],0.05,0.18,1.12
['13'],['28'],0.08,0.51,1.05
['28'],['13'],0.08,0.17,1.05
['13'],['38'],0.13,0.78,1.04
['38'],['13'],0.13,0.17,1.04
['13'],"['43', '38']",0.06,0.36,1.15
['43'],"['13', '38']",0.06,0.15,1.15
['38'],"['43', '13']",0.06,0.08,1.11
"['43', '13']",['38'],0.06,0.84,1.11
"['13', '38']",['43'],0.06,0.46,1.15
"['43', '38']",['13'],0.06,0.19,1.15
['13'],['29'],0.07,0.42,1.08
['29'],['13'],0.07,0.18,1.08
['13'],['48'],0.09,0.58,1.1
['48'],['13'],0.09,0.18,1.1
['13'],['36'],0.11,0.66,1.05
['36'],['13'],0.11,0.17,1.05
['13'],['14'],0.07,0.4,1.01
['14'],['13'],0.07,0.16,1.01
['13'],"['29', '38']",0.06,0.34,1.12
['29'],"['13', '38']",0.06,0.14,1.11
['38'],"['29', '13']",0.06,0.07,1.06
"['29', '13']",['38'],0.06,0.81,1.06
"['13', '38']",['29'],0.06,0.43,1.11
"['29', '38']",['13'],0.06,0.18,1.12
['13'],"['9', '38']",0.06,0.34,1.04
['9'],"['13', '38']",0.06,0.13,1.01
['38'],"['9', '13']",0.06,0.07,1.09
"['9', '13']",['38'],0.06,0.82,1.09
"['13', '38']",['9'],0.06,0.44,1.01
"['9', '38']",['13'],0.06,0.17,1.04
['13'],['40'],0.07,0.41,0.89
['40'],['13'],0.07,0.14,0.89
['13'],['11'],0.09,0.54,1.04
['11'],['13'],0.09,0.17,1.04
['13'],['43'],0.07,0.43,1.08
['43'],['13'],0.07,0.18,1.08
['13'],"['36', '38']",0.09,0.53,1.09
['36'],"['13', '38']",0.09,0.14,1.08
['38'],"['36', '13']",0.09,0.11,1.06
"['36', '13']",['38'],0.09,0.8,1.06
"['13', '38']",['36'],0.09,0.68,1.08
"['36', '38']",['13'],0.09,0.18,1.09
['13'],"['8', '38']",0.07,0.41,1.07
['8'],"['13', '38']",0.07,0.13,1.05
['38'],"['8', '13']",0.07,0.09,1.04
"['8', '13']",['38'],0.07,0.78,1.04
"['13', '38']",['8'],0.07,0.52,1.05
"['8', '38']",['13'],0.07,0.17,1.07
['13'],"['17', '38']",0.07,0.41,1.15
['17'],"['13', '38']",0.07,0.15,1.15
['38'],"['17', '13']",0.07,0.09,1.07
"['17', '13']",['38'],0.07,0.81,1.07
"['13', '38']",['17'],0.07,0.53,1.15
"['17', '38']",['13'],0.07,0.19,1.15
['13'],"['11', '38']",0.07,0.43,1.05
['11'],"['13', '38']",0.07,0.13,1.05
['38'],"['11', '13']",0.07,0.09,1.05
"['11', '13']",['38'],0.07,0.79,1.05
"['13', '38']",['11'],0.07,0.55,1.05
"['11', '38']",['13'],0.07,0.17,1.05
['13'],"['38', '14']",0.05,0.32,1.02
['14'],"['13', '38']",0.05,0.13,1.02
['38'],"['13', '14']",0.05,0.07,1.04
"['13', '14']",['38'],0.05,0.79,1.04
"['13', '38']",['14'],0.05,0.4,1.02
"['38', '14']",['13'],0.05,0.17,1.02
['13'],['8'],0.09,0.52,1.05
['8'],['13'],0.09,0.17,1.05
['13'],"['38', '47']",0.06,0.38,1.08
['47'],"['13', '38']",0.06,0.14,1.07
['38'],"['13', '47']",0.06,0.08,1.04
"['13', '47']",['38'],0.06,0.79,1.04
"['13', '38']",['47'],0.06,0.48,1.07
"['38', '47']",['13'],0.06,0.18,1.08
['13'],['9'],0.07,0.42,0.97
