antecedent,consequent,support,confidence,lift
"['36', '31']",['8'],0.05,0.57,1.15
['31'],"['11', '38']",0.06,0.44,1.08
"['11', '31']",['38'],0.06,0.82,1.08
"['38', '31']",['11'],0.06,0.55,1.05
['31'],"['28', '36']",0.05,0.35,1.09
"['28', '31']",['36'],0.05,0.66,1.05
"['36', '31']",['28'],0.05,0.56,1.15
['31'],['38'],0.12,0.8,1.06
['31'],"['48', '38']",0.07,0.45,1.08
"['48', '31']",['38'],0.07,0.8,1.06
"['38', '31']",['48'],0.07,0.56,1.05
['31'],"['29', '38']",0.05,0.37,1.21
"['29', '31']",['38'],0.05,0.83,1.09
"['38', '31']",['29'],0.05,0.45,1.16
['31'],['8'],0.08,0.55,1.11
['31'],"['38', '47']",0.06,0.4,1.14
"['47', '31']",['38'],0.06,0.87,1.15
"['38', '31']",['47'],0.06,0.49,1.11
['31'],"['40', '38']",0.05,0.37,1.06
"['40', '31']",['38'],0.05,0.85,1.13
"['38', '31']",['40'],0.05,0.46,1.01
['31'],['11'],0.08,0.54,1.04
['31'],['14'],0.06,0.42,1.07
['31'],"['9', '38']",0.05,0.35,1.06
"['9', '31']",['38'],0.05,0.82,1.09
"['38', '31']",['9'],0.05,0.44,1.02
['31'],['35'],0.05,0.35,0.94
['31'],"['3', '38']",0.06,0.42,1.11
"['3', '31']",['38'],0.06,0.84,1.11
"['38', '31']",['3'],0.06,0.52,1.06
['31'],"['8', '38']",0.06,0.44,1.15
"['8', '31']",['38'],0.06,0.8,1.06
"['38', '31']",['8'],0.06,0.55,1.11
['31'],['28'],0.08,0.53,1.08
['31'],"['28', '38']",0.06,0.44,1.15
"['28', '31']",['38'],0.06,0.83,1.09
"['38', '31']",['28'],0.06,0.54,1.11
['31'],['9'],0.06,0.43,0.99
['31'],['40'],0.06,0.44,0.96
['31'],['47'],0.07,0.46,1.03
['31'],['48'],0.08,0.56,1.06
['31'],['43'],0.05,0.37,0.91
['31'],"['38', '39']",0.06,0.39,1.11
"['39', '31']",['38'],0.06,0.81,1.07
"['38', '31']",['39'],0.06,0.49,1.07
['31'],"['11', '36']",0.05,0.36,1.06
"['11', '31']",['36'],0.05,0.67,1.07
"['36', '31']",['11'],0.05,0.59,1.13
['31'],"['36', '38']",0.08,0.52,1.07
"['36', '31']",['38'],0.08,0.84,1.11
"['38', '31']",['36'],0.08,0.64,1.02
['31'],['29'],0.06,0.44,1.13
['31'],['36'],0.09,0.62,0.99
['31'],"['48', '36']",0.05,0.36,1.06
"['48', '31']",['36'],0.05,0.64,1.01
"['36', '31']",['48'],0.05,0.58,1.09
['13'],"['48', '28']",0.05,0.31,1.16
"['28', '13']",['48'],0.05,0.61,1.15
"['48', '13']",['28'],0.05,0.54,1.09
['13'],"['8', '36']",0.06,0.36,1.12
"['8', '13']",['36'],0.06,0.69,1.09
"['36', '13']",['8'],0.06,0.55,1.1
['13'],"['11', '38']",0.07,0.43,1.05
"['11', '13']",['38'],0.07,0.79,1.05
"['13', '38']",['11'],0.07,0.55,1.05
['13'],['38'],0.13,0.78,1.04
['13'],"['48', '38']",0.07,0.45,1.09
"['48', '13']",['38'],0.07,0.77,1.02
"['13', '38']",['48'],0.07,0.58,1.09
['13'],"['29', '38']",0.06,0.34,1.12
"['29', '13']",['38'],0.06,0.81,1.06
"['13', '38']",['29'],0.06,0.43,1.11
['13'],['8'],0.09,0.52,1.05
['13'],"['38', '47']",0.06,0.38,1.08
"['13', '47']",['38'],0.06,0.79,1.04
"['13', '38']",['47'],0.06,0.48,1.07
['13'],"['28', '36']",0.06,0.34,1.07
"['28', '13']",['36'],0.06,0.67,1.06
"['36', '13']",['28'],0.06,0.52,1.06
['13'],"['43', '38']",0.06,0.36,1.15
"['43', '13']",['38'],0.06,0.84,1.11
"['13', '38']",['43'],0.06,0.46,1.15
['13'],['11'],0.09,0.54,1.04
['13'],['14'],0.07,0.4,1.01
['13'],"['48', '17']",0.05,0.31,1.3
"['17', '13']",['48'],0.05,0.61,1.15
"['48', '13']",['17'],0.05,0.54,1.17
"['48', '17']",['13'],0.05,0.21,1.3
['13'],"['9', '38']",0.06,0.34,1.04
"['9', '13']",['38'],0.06,0.82,1.09
"['13', '38']",['9'],0.06,0.44,1.01
['13'],"['36', '39']",0.06,0.35,1.18
"['13', '39']",['36'],0.06,0.71,1.13
"['36', '13']",['39'],0.06,0.53,1.16
['13'],['35'],0.06,0.39,1.06
['13'],"['3', '38']",0.06,0.38,1.01
"['3', '13']",['38'],0.06,0.77,1.02
"['13', '38']",['3'],0.06,0.48,1.0
['13'],['5'],0.05,0.31,1.18
['13'],"['48', '11']",0.05,0.32,1.12
"['11', '13']",['48'],0.05,0.6,1.13
"['48', '13']",['11'],0.05,0.56,1.07
['13'],"['8', '38']",0.07,0.41,1.07
"['8', '13']",['38'],0.07,0.78,1.04
"['13', '38']",['8'],0.07,0.52,1.05
['13'],['28'],0.08,0.51,1.05
['13'],"['40', '38']",0.05,0.32,0.92
"['40', '13']",['38'],0.05,0.79,1.05
"['13', '38']",['40'],0.05,0.41,0.9
['13'],"['17', '36']",0.06,0.34,1.17
"['17', '13']",['36'],0.06,0.67,1.07
"['36', '13']",['17'],0.06,0.52,1.14
['13'],['40'],0.07,0.41,0.89
['13'],['9'],0.07,0.42,0.97
['13'],['47'],0.08,0.48,1.07
['13'],['48'],0.09,0.58,1.1
['13'],['43'],0.07,0.43,1.08
['13'],"['35', '38']",0.05,0.32,1.12
"['35', '13']",['38'],0.05,0.82,1.09
"['13', '38']",['35'],0.05,0.41,1.11
['13'],"['8', '11']",0.05,0.31,1.12
"['8', '13']",['11'],0.05,0.59,1.14
"['11', '13']",['8'],0.05,0.57,1.15
['13'],"['11', '36']",0.06,0.36,1.06
"['11', '13']",['36'],0.06,0.67,1.07
"['36', '13']",['11'],0.06,0.55,1.06
['13'],"['28', '38']",0.07,0.43,1.13
"['28', '13']",['38'],0.07,0.83,1.1
"['13', '38']",['28'],0.07,0.54,1.11
['13'],"['36', '38']",0.09,0.53,1.09
"['36', '13']",['38'],0.09,0.8,1.06
"['13', '38']",['36'],0.09,0.68,1.08
['13'],['29'],0.07,0.42,1.08
['13'],['36'],0.11,0.66,1.05
['13'],"['48', '36']",0.06,0.37,1.11
"['48', '13']",['36'],0.06,0.64,1.02
"['36', '13']",['48'],0.06,0.56,1.06
['13'],"['38', '14']",0.05,0.32,1.02
"['13', '14']",['38'],0.05,0.79,1.04
"['13', '38']",['14'],0.05,0.4,1.02
['13'],"['38', '39']",0.07,0.4,1.14
"['13', '39']",['38'],0.07,0.82,1.09
"['13', '38']",['39'],0.07,0.51,1.13
['13'],"['36', '47']",0.06,0.34,1.2
"['13', '47']",['36'],0.06,0.72,1.15
"['36', '13']",['47'],0.06,0.52,1.17
['13'],['17'],0.08,0.51,1.12
['13'],['39'],0.08,0.49,1.08
['13'],"['17', '38']",0.07,0.41,1.15
"['17', '13']",['38'],0.07,0.81,1.07
"['13', '38']",['17'],0.07,0.53,1.15
['13'],"['3', '36']",0.06,0.34,1.09
"['3', '13']",['36'],0.06,0.69,1.1
"['36', '13']",['3'],0.06,0.52,1.06
['13'],['3'],0.08,0.49,1.01
['19'],"['8', '36']",0.06,0.37,1.14
"['8', '19']",['36'],0.06,0.72,1.15
"['19', '36']",['8'],0.06,0.56,1.12
['19'],"['48', '36', '38']",0.05,0.31,1.15
"['48', '19']","['36', '38']",0.05,0.59,1.21
"['19', '36']","['48', '38']",0.05,0.47,1.13
"['19', '38']","['48', '36']",0.05,0.38,1.14
"['48', '19', '36']",['38'],0.05,0.85,1.13
"['48', '19', '38']",['36'],0.05,0.69,1.1
"['19', '36', '38']",['48'],0.05,0.57,1.07
['19'],"['11', '38']",0.07,0.43,1.06
"['11', '19']",['38'],0.07,0.83,1.1
"['19', '38']",['11'],0.07,0.54,1.03
['19'],['29'],0.07,0.41,1.05
['19'],"['28', '36']",0.06,0.36,1.12
"['19', '28']",['36'],0.06,0.68,1.08
"['19', '36']",['28'],0.06,0.54,1.11
['19'],"['29', '38']",0.06,0.34,1.12
"['19', '29']",['38'],0.06,0.83,1.09
"['19', '38']",['29'],0.06,0.42,1.08
['19'],['36'],0.11,0.66,1.05
['19'],"['38', '47']",0.06,0.38,1.1
"['19', '47']",['38'],0.06,0.84,1.11
"['19', '38']",['47'],0.06,0.47,1.06
['19'],"['43', '38']",0.06,0.34,1.09
"['43', '19']",['38'],0.06,0.83,1.1
"['19', '38']",['43'],0.06,0.42,1.06
['19'],['17'],0.08,0.49,1.06
['19'],"['48', '38']",0.07,0.45,1.08
"['48', '19']",['38'],0.07,0.86,1.13
"['19', '38']",['48'],0.07,0.56,1.05
['19'],"['40', '38']",0.07,0.41,1.18
"['40', '19']",['38'],0.07,0.81,1.07
"['19', '38']",['40'],0.07,0.52,1.13
['19'],"['36', '39']",0.06,0.34,1.16
"['19', '39']",['36'],0.06,0.69,1.1
"['19', '36']",['39'],0.06,0.52,1.14
['19'],['39'],0.08,0.49,1.09
['19'],"['9', '38']",0.06,0.36,1.08
"['9', '19']",['38'],0.06,0.81,1.07
"['19', '38']",['9'],0.06,0.45,1.03
['19'],"['3', '38']",0.07,0.43,1.13
"['3', '19']",['38'],0.07,0.83,1.1
"['19', '38']",['3'],0.07,0.53,1.09
['19'],['3'],0.08,0.51,1.05
['19'],"['8', '38']",0.07,0.41,1.07
"['8', '19']",['38'],0.07,0.81,1.07
"['19', '38']",['8'],0.07,0.51,1.03
['19'],['33'],0.05,0.33,1.09
['19'],"['28', '38']",0.07,0.44,1.16
"['19', '28']",['38'],0.07,0.84,1.11
"['19', '38']",['28'],0.07,0.55,1.12
['19'],"['17', '36']",0.05,0.32,1.1
"['17', '19']",['36'],0.05,0.67,1.06
"['19', '36']",['17'],0.05,0.49,1.07
['19'],"['38', '28', '36']",0.05,0.3,1.21
"['19', '28']","['36', '38']",0.05,0.58,1.19
"['19', '36']","['28', '38']",0.05,0.46,1.21
"['19', '38']","['28', '36']",0.05,0.38,1.18
"['19', '28', '36']",['38'],0.05,0.85,1.12
"['19', '28', '38']",['36'],0.05,0.69,1.1
"['19', '36', '38']",['28'],0.05,0.56,1.15
"['38', '28', '36']",['19'],0.05,0.2,1.21
['19'],['38'],0.13,0.81,1.06
['19'],"['36', '38']",0.09,0.54,1.11
"['19', '36']",['38'],0.09,0.82,1.08
"['19', '38']",['36'],0.09,0.67,1.07
['19'],['8'],0.08,0.51,1.02
['19'],"['11', '36']",0.06,0.35,1.02
"['11', '19']",['36'],0.06,0.67,1.07
"['19', '36']",['11'],0.06,0.53,1.01
['19'],['11'],0.09,0.52,0.99
['19'],['14'],0.07,0.44,1.12
['19'],"['38', '39']",0.07,0.4,1.13
"['19', '39']",['38'],0.07,0.81,1.07
"['19', '38']",['39'],0.07,0.49,1.09
['19'],['35'],0.06,0.33,0.9
['19'],"['38', '14']",0.06,0.37,1.19
"['19', '14']",['38'],0.06,0.83,1.1
"['19', '38']",['14'],0.06,0.45,1.15
['19'],"['36', '47']",0.05,0.31,1.07
"['19', '47']",['36'],0.05,0.67,1.07
"['19', '36']",['47'],0.05,0.46,1.04
['19'],"['48', '36']",0.06,0.36,1.07
"['48', '19']",['36'],0.06,0.69,1.1
"['19', '36']",['48'],0.06,0.55,1.03
['19'],"['40', '36']",0.06,0.37,1.25
"['40', '19']",['36'],0.06,0.72,1.14
"['19', '36']",['40'],0.06,0.56,1.21
"['40', '36']",['19'],0.06,0.21,1.25
['19'],['21'],0.06,0.34,1.08
['19'],"['17', '38']",0.07,0.4,1.12
"['17', '19']",['38'],0.07,0.83,1.09
"['19', '38']",['17'],0.07,0.5,1.09
['19'],['28'],0.09,0.53,1.08
['19'],['48'],0.09,0.52,0.98
['19'],['9'],0.07,0.45,1.03
['19'],['40'],0.08,0.51,1.12
['19'],['47'],0.07,0.45,1.02
['19'],"['3', '36']",0.06,0.34,1.08
"['3', '19']",['36'],0.06,0.66,1.05
"['19', '36']",['3'],0.06,0.51,1.05
['19'],['43'],0.07,0.41,1.02
['45'],"['48', '38']",0.08,0.46,1.12
"['48', '45']",['38'],0.08,0.8,1.06
"['45', '38']",['48'],0.08,0.59,1.11
['45'],['14'],0.07,0.41,1.05
['45'],"['40', '38']",0.06,0.35,1.0
"['40', '45']",['38'],0.06,0.76,1.01
"['45', '38']",['40'],0.06,0.45,0.98
['45'],"['38', '47']",0.06,0.38,1.09
"['45', '47']",['38'],0.06,0.82,1.08
"['45', '38']",['47'],0.06,0.48,1.08
['45'],"['9', '38']",0.06,0.39,1.16
"['9', '45']",['38'],0.06,0.81,1.07
"['45', '38']",['9'],0.06,0.49,1.13
['45'],['35'],0.07,0.41,1.1
['45'],"['35', '38']",0.05,0.32,1.12
"['35', '45']",['38'],0.05,0.8,1.05
"['45', '38']",['35'],0.05,0.41,1.11
['45'],"['8', '38']",0.07,0.39,1.02
"['8', '45']",['38'],0.07,0.81,1.07
"['45', '38']",['8'],0.07,0.5,1.01
['45'],"['43', '38']",0.05,0.31,0.98
"['43', '45']",['38'],0.05,0.78,1.03
"['45', '38']",['43'],0.05,0.39,0.98
['45'],['9'],0.08,0.48,1.11
['45'],"['28', '38']",0.07,0.42,1.11
"['28', '45']",['38'],0.07,0.86,1.13
"['45', '38']",['28'],0.07,0.53,1.09
['45'],['47'],0.08,0.46,1.03
['45'],['21'],0.06,0.36,1.13
['45'],['28'],0.08,0.49,1.0
['45'],"['17', '36']",0.06,0.34,1.14
"['17', '45']",['36'],0.06,0.68,1.08
"['36', '45']",['17'],0.06,0.49,1.06
['45'],"['48', '11']",0.05,0.32,1.1
"['11', '45']",['48'],0.05,0.62,1.16
"['48', '45']",['11'],0.05,0.55,1.05
['45'],['40'],0.08,0.46,1.01
['45'],['48'],0.1,0.58,1.09
['45'],['43'],0.07,0.4,0.99
['45'],"['48', '3']",0.05,0.31,1.19
"['3', '45']",['48'],0.05,0.61,1.15
"['48', '45']",['3'],0.05,0.54,1.11
['45'],"['38', '39']",0.06,0.35,1.0
"['45', '39']",['38'],0.06,0.79,1.04
"['45', '38']",['39'],0.06,0.45,0.99
['45'],"['11', '36']",0.06,0.37,1.09
"['11', '45']",['36'],0.06,0.72,1.15
"['36', '45']",['11'],0.06,0.54,1.03
['45'],['29'],0.07,0.42,1.08
['45'],"['11', '36', '38']",0.05,0.32,1.17
"['11', '45']","['36', '38']",0.05,0.61,1.26
"['36', '45']","['11', '38']",0.05,0.46,1.12
"['45', '38']","['11', '36']",0.05,0.4,1.18
"['11', '36', '45']",['38'],0.05,0.85,1.12
"['11', '45', '38']",['36'],0.05,0.74,1.18
"['36', '45', '38']",['11'],0.05,0.58,1.1
['45'],['36'],0.11,0.69,1.1
['45'],"['36', '29']",0.05,0.31,1.17
"['29', '45']",['36'],0.05,0.72,1.15
"['36', '45']",['29'],0.05,0.44,1.13
['45'],"['48', '47']",0.05,0.3,1.25
"['45', '47']",['48'],0.05,0.66,1.23
"['48', '45']",['47'],0.05,0.52,1.17
"['48', '47']",['45'],0.05,0.21,1.25
['45'],"['36', '38']",0.09,0.55,1.13
"['36', '45']",['38'],0.09,0.8,1.05
"['45', '38']",['36'],0.09,0.7,1.11
['45'],"['3', '36']",0.06,0.37,1.19
"['3', '45']",['36'],0.06,0.72,1.15
"['36', '45']",['3'],0.06,0.54,1.1
['45'],"['38', '14']",0.05,0.33,1.06
"['45', '14']",['38'],0.05,0.79,1.04
"['45', '38']",['14'],0.05,0.41,1.05
['45'],"['8', '48']",0.05,0.31,1.13
"['8', '45']",['48'],0.05,0.63,1.19
"['48', '45']",['8'],0.05,0.53,1.07
['45'],"['48', '28']",0.05,0.32,1.19
"['28', '45']",['48'],0.05,0.65,1.23
"['48', '45']",['28'],0.05,0.55,1.13
['45'],['17'],0.08,0.5,1.08
['45'],"['48', '36']",0.06,0.38,1.13
"['48', '45']",['36'],0.06,0.66,1.05
"['36', '45']",['48'],0.06,0.55,1.04
['45'],"['40', '36']",0.05,0.31,1.06
"['40', '45']",['36'],0.05,0.68,1.08
"['36', '45']",['40'],0.05,0.45,0.99
['45'],"['17', '38']",0.07,0.4,1.12
"['17', '45']",['38'],0.07,0.81,1.06
"['45', '38']",['17'],0.07,0.51,1.11
['45'],"['9', '36']",0.05,0.33,1.18
"['9', '45']",['36'],0.05,0.68,1.08
"['36', '45']",['9'],0.05,0.47,1.09
['45'],['39'],0.07,0.45,0.99
['45'],"['48', '36', '38']",0.05,0.31,1.15
"['48', '45']","['36', '38']",0.05,0.53,1.1
"['36', '45']","['48', '38']",0.05,0.45,1.08
"['45', '38']","['48', '36']",0.05,0.39,1.17
"['48', '36', '45']",['38'],0.05,0.81,1.07
"['48', '45', '38']",['36'],0.05,0.66,1.06
"['36', '45', '38']",['48'],0.05,0.56,1.06
['45'],"['36', '47']",0.05,0.32,1.13
"['45', '47']",['36'],0.05,0.7,1.12
"['36', '45']",['47'],0.05,0.47,1.05
['45'],['3'],0.09,0.51,1.06
['45'],"['8', '36']",0.06,0.35,1.1
"['8', '45']",['36'],0.06,0.72,1.15
"['36', '45']",['8'],0.06,0.51,1.03
['45'],"['11', '38']",0.07,0.43,1.05
"['11', '45']",['38'],0.07,0.83,1.09
"['45', '38']",['11'],0.07,0.54,1.04
['45'],"['28', '36']",0.06,0.35,1.08
"['28', '45']",['36'],0.06,0.7,1.12
"['36', '45']",['28'],0.06,0.5,1.03
['45'],['23'],0.05,0.31,1.09
['45'],"['3', '36', '38']",0.05,0.31,1.25
"['3', '45']","['36', '38']",0.05,0.6,1.24
"['36', '45']","['3', '38']",0.05,0.45,1.19
"['45', '38']","['3', '36']",0.05,0.39,1.26
"['3', '36', '45']",['38'],0.05,0.84,1.11
"['3', '45', '38']",['36'],0.05,0.74,1.17
"['36', '45', '38']",['3'],0.05,0.56,1.16
"['3', '36', '38']",['45'],0.05,0.21,1.25
['45'],['38'],0.13,0.79,1.04
['45'],"['29', '38']",0.06,0.34,1.11
"['29', '45']",['38'],0.06,0.8,1.05
"['45', '38']",['29'],0.06,0.43,1.09
['45'],"['36', '39']",0.05,0.3,1.03
"['45', '39']",['36'],0.05,0.68,1.08
"['36', '45']",['39'],0.05,0.44,0.97
['45'],"['3', '38']",0.07,0.42,1.12
"['3', '45']",['38'],0.07,0.82,1.08
"['45', '38']",['3'],0.07,0.53,1.1
['45'],['8'],0.08,0.49,0.98
['45'],['11'],0.09,0.52,0.99
['6'],['8'],0.09,0.52,1.05
['6'],"['48', '36']",0.06,0.35,1.03
"['48', '6']",['36'],0.06,0.63,1.0
"['36', '6']",['48'],0.06,0.55,1.04
['6'],"['38', '14']",0.05,0.32,1.05
"['6', '14']",['38'],0.05,0.8,1.05
"['38', '6']",['14'],0.05,0.42,1.06
['6'],"['38', '39']",0.07,0.39,1.11
"['6', '39']",['38'],0.07,0.79,1.04
"['38', '6']",['39'],0.07,0.51,1.12
['6'],"['36', '47']",0.05,0.31,1.08
"['6', '47']",['36'],0.05,0.64,1.01
"['36', '6']",['47'],0.05,0.49,1.1
['6'],['11'],0.1,0.59,1.13
['6'],['14'],0.07,0.4,1.02
['6'],['35'],0.06,0.37,0.99
['6'],['42'],0.05,0.31,1.25
['42'],['6'],0.05,0.21,1.25
['6'],"['11', '39']",0.05,0.3,1.2
"['6', '39']",['11'],0.05,0.61,1.17
"['11', '6']",['39'],0.05,0.51,1.12
"['11', '39']",['6'],0.05,0.2,1.2
['6'],"['17', '38']",0.07,0.39,1.1
"['17', '6']",['38'],0.07,0.8,1.05
"['38', '6']",['17'],0.07,0.51,1.12
['6'],['21'],0.05,0.3,0.95
['6'],['28'],0.08,0.49,1.01
['6'],"['8', '36']",0.06,0.33,1.04
"['8', '6']",['36'],0.06,0.64,1.03
"['36', '6']",['8'],0.06,0.53,1.07
['6'],['9'],0.08,0.45,1.04
['6'],['40'],0.08,0.46,1.01
['6'],['47'],0.08,0.49,1.09
['6'],"['28', '36']",0.05,0.32,0.99
"['28', '6']",['36'],0.05,0.64,1.02
"['36', '6']",['28'],0.05,0.5,1.03
['6'],"['17', '11']",0.05,0.32,1.27
